name,price
PLATO+VASITO+ CUBIERTOS,$599
VASO ANTIDERRAME c/agarradera,$1.156
TAZA CON ASA,$290
Ajuar Grande,$5.445
Ajuar Chico,$4.320
CEPILLO DENTAL TRADICIONAL Y VASO BB,
CEPILLO DENTAL INFANTIL TRADICIONAL,
HIPO PARCHE OCULAR ADULTO x 5 u,$256
HIPO PARCHE OCULAR PEDIATRICO x 5 u,$209
HIPO APOSITO FILM 6cm x 7cm x 3 unid,$313
HIPO AG+ APOSITO ANTIBACTERIAL x 30 unid.,$410
HIPO APOSITO TRANSP. FILM+PAD 10x10cm x 20 unid.,$1.778
HIPO APOSITO PROTECTOR OUCH! x 10 unid.,$95
MAC EAU DE PARFUM LAS OREIROS RED LIPS x 100 ml,$4.812
MAC EAU DE PARFUM LAS OREIROS DOLCE VITA x 100 ml,$4.812
"TELA ADHESIVA TUBO HOSP AS 5 cm x 4,5 mts",$2.079
"TELA AD. PRINTEX N.5 x 24 r 1,25cmx4,5m",$2.401
ELECTRODO DEXAL BOLSA x 50 UNIDADES,$1.035
SONDA FOLEY 2 LATEX VIAS EPIC N°24 BALON 5,$174
SONDA FOLEY 2 LATEX VIAS EPIC N°22 BALON 5,$174
SONDA FOLEY 2 LATEX VIAS EPIC N°20 BALON 5,$174
SONDA FOLEY 2 LATEX VIAS EPIC N°14 BALON 5,$174
SONDA FOLEY 2 LATEX VIAS EPIC N°18 BALON 5,$174
SONDA FOLEY 2 LATEX VIAS EPIC N°16 BALON 5,$174
OG CEPILLO NEUMATICO DELFIN CHICO (200),$299
JERINGA NEOJET 3 cc S/A x 100 u,$788
CH ESTUCHE N. 7 A AZUL,$1.029
CH ESTUCHE N. 7 A VERDE,$1.029
ALCOHOL IODADO TABLADA x 100 cc,$403
LINIMENTO OLEO CALCAREO TABLADA x 250 cc,$328
AGUA OXIGENADA SANADROG 10v x 250 cc,$165
GLUCOSA PURA ORAL EN POLVO SANADROG x 75 grs.,$260
TALCO MENTOLADO SANADROG x 100 gr,$311
GLICERINA SANADROG x 100 grs,$336
ALCOHOL BORICADO SANADROG x 100 cc,$174
TELA AD. OXIDO ZINC FUREY N°7 (MOD 2) x u.5cmx4m,$2.636
"TELA AD. OXIDO ZINC FUREY N°6 (MOD 2) x 12 r 2,5cmx4m",$2.715
"TELA AD. OXIDO ZINC FUREY N°5 (MOD 2) x 24 r 1,25cmx4m",$2.609
JMY CEPILLO NEUMATICO OVAL METALIZADO (C651),$1.053
NEBU A PISTON CORONET COMPRESOR NBB02/A50,$13.413
A GRANEL VENDA CAMBRIC FUREY (Mod 2) 5 cm. x 500 u,$23.615
LIMONADA ROGE SANADROG ADULTO x 80 gs,$404
VASELINA SOLIDA SANADROG POTE x Kg,$2.623
VASELINA MEDICINAL SANADROG x 500 ml,$903
VASELINA MEDICINAL SANADROG x 250 ml,$500
VASELINA MEDICINAL SANADROG x 125 ml,$276
SOLUCION FISIOLOGICA GOTERO SANADROG 100 ml,$99
VASELINA SOLIDA SANADROG POTE x 60 grs,$239
SULFATIAZOL TALQUERA SANADROG x 5 grs,$501
AGUA OXIGENADA SANADROG 10v x LITRO,$365
